ime,pozicija,starost,odigrane_tekme,prva_postava,igralni_cas,uspesni_meti,poskusi_metov,procent_metov,meti_za_tri,poskusi_za_tri,procent_za_tri,met_za_dve,poskus_za_dve,procent_za_dve,prosti_met,poskus_prosti_met,prosti_met_procent,napadalni_skok,obrambni_skok,skok,podaje,ukradene_zoge,blokade,izgubljene_zoge,osebne_napake,tocke
Alex Abrines,SG,24,75,8,15.1,1.5,3.9,.395,1.1,2.9,.380,0.4,0.9,.443,0.5,0.6,.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7
Quincy Acy,PF,27,70,8,19.4,1.9,5.2,.356,1.5,4.2,.349,0.4,1.0,.384,0.7,0.9,.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9
Steven Adams,C,24,76,76,32.7,5.9,9.4,.629,0.0,0.0,.000,5.9,9.3,.631,2.1,3.8,.559,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9
Bam Adebayo,C,20,69,19,19.8,2.5,4.9,.512,0.0,0.1,.000,2.5,4.8,.523,1.9,2.6,.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9
Arron Afflalo,SG,32,53,3,12.9,1.2,3.1,.401,0.5,1.3,.386,0.7,1.7,.413,0.4,0.5,.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4
Cole Aldrich,C,29,21,0,2.3,0.2,0.7,.333,0.0,0.0,,0.2,0.7,.333,0.1,0.3,.333,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6
LaMarcus Aldridge,C,32,75,75,33.5,9.2,18.0,.510,0.4,1.2,.293,8.8,16.7,.526,4.5,5.3,.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1
Jarrett Allen,C,19,72,31,20.0,3.3,5.5,.589,0.1,0.2,.333,3.2,5.3,.599,1.6,2.0,.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2
Kadeem Allen,PG,25,18,1,5.9,0.3,1.2,.273,0.0,0.6,.000,0.3,0.6,.545,0.4,0.5,.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1
Tony Allen,SF,36,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506,0.5,1.0,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
Al-Farouq Aminu,PF,27,69,67,30.0,3.3,8.4,.395,1.8,4.9,.369,1.5,3.5,.432,0.9,1.2,.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3
Justin Anderson,SF,24,38,0,13.7,2.3,5.3,.431,0.9,2.7,.330,1.4,2.6,.535,0.7,1.0,.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2
Kyle Anderson,SF,24,74,67,26.7,3.1,5.9,.527,0.3,0.8,.333,2.9,5.1,.556,1.4,2.0,.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9
Ryan Anderson,PF,29,66,50,26.1,3.1,7.3,.431,2.0,5.1,.386,1.2,2.1,.539,1.1,1.4,.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3
Ike Anigbogu,C,19,11,0,2.7,0.4,0.8,.444,0.0,0.0,,0.4,0.8,.444,0.5,0.5,.833,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,1.2
Giannis Antetokounmpo,PF,23,75,75,36.7,9.9,18.7,.529,0.6,1.9,.307,9.3,16.8,.554,6.5,8.5,.760,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9
Carmelo Anthony,PF,33,78,78,32.1,6.1,15.0,.404,2.2,6.1,.357,3.9,8.9,.437,1.9,2.5,.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2
OG Anunoby,SF,20,74,62,20.0,2.2,4.7,.471,1.0,2.7,.371,1.2,2.0,.604,0.5,0.8,.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9
Ryan Arcidiacono,PG,23,24,0,12.7,0.7,1.7,.415,0.4,1.3,.290,0.3,0.4,.800,0.2,0.3,.833,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2.0
Trevor Ariza,SF,32,67,67,33.9,4.0,9.7,.412,2.5,6.9,.368,1.5,2.8,.519,1.1,1.3,.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2.0,11.7
Darrell Arthur,PF,29,19,1,7.4,1.2,2.5,.468,0.4,1.2,.348,0.7,1.3,.583,0.1,0.2,.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8
Jamel Artis,SG,25,15,1,18.6,2.1,5.3,.392,0.5,1.9,.276,1.5,3.3,.460,0.5,0.8,.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1
Omer Asik,C,31,18,0,10.1,0.5,1.2,.409,0.0,0.0,,0.5,1.2,.409,0.2,0.7,.308,0.5,2.1,2.6,0.2,0.1,0.2,0.5,1.1,1.2
D.J. Augustin,PG,30,75,36,23.5,3.3,7.2,.452,1.5,3.6,.419,1.7,3.6,.485,2.2,2.5,.868,0.4,1.7,2.1,3.8,0.7,0.0,1.6,1.3,10.2
Luke Babbitt,SF,28,50,14,14.3,1.8,4.3,.423,1.2,3.1,.385,0.6,1.2,.525,0.3,0.4,.773,0.1,1.8,1.9,0.6,0.2,0.1,0.4,1.1,5.2
Dwayne Bacon,SG,22,53,6,13.5,1.4,3.6,.375,0.2,0.8,.256,1.2,2.8,.409,0.4,0.5,.800,0.1,2.3,2.3,0.7,0.3,0.0,0.4,0.9,3.3
Ron Baker,SG,24,29,1,13.3,0.7,2.0,.339,0.4,1.1,.333,0.3,0.9,.346,0.7,0.9,.769,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4
Wade Baldwin,PG,21,7,0,11.4,2.0,3.0,.667,0.6,0.7,.800,1.4,2.3,.625,0.9,1.4,.600,0.1,1.0,1.1,0.7,0.3,0.1,0.6,1.7,5.4
Lonzo Ball,PG,20,52,50,34.2,3.9,10.8,.360,1.7,5.7,.305,2.2,5.2,.420,0.6,1.4,.451,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2
J.J. Barea,PG,33,69,10,23.2,4.4,10.0,.439,1.7,4.5,.367,2.7,5.5,.499,1.2,1.5,.784,0.2,2.7,2.9,6.3,0.5,0.0,2.1,1.2,11.6
Harrison Barnes,PF,25,77,77,34.2,7.0,15.7,.445,1.5,4.3,.357,5.4,11.4,.478,3.4,4.1,.827,1.0,5.1,6.1,2.0,0.6,0.2,1.5,1.2,18.9
Will Barton,SG,27,81,40,33.1,5.7,12.7,.452,1.9,5.2,.370,3.8,7.5,.510,2.2,2.8,.805,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,15.7
Nicolas Batum,SG,29,64,64,31.0,4.2,10.2,.415,1.4,4.3,.336,2.8,5.9,.473,1.7,2.0,.831,0.9,3.9,4.8,5.5,1.0,0.4,2.0,1.1,11.6
Jerryd Bayless,SG,29,39,11,23.7,2.8,6.7,.416,1.4,3.7,.370,1.4,3.0,.474,0.9,1.1,.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9
Aron Baynes,C,31,81,67,18.3,2.6,5.5,.471,0.0,0.3,.143,2.6,5.2,.487,0.7,1.0,.756,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,6.0
Kent Bazemore,SG,28,65,65,27.5,4.4,10.4,.420,1.7,4.2,.394,2.7,6.2,.438,2.5,3.1,.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9
Bradley Beal,SG,24,82,82,36.3,8.3,18.1,.460,2.4,6.5,.375,5.9,11.6,.507,3.6,4.5,.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6
Malik Beasley,SG,21,62,0,9.4,1.2,2.9,.410,0.5,1.3,.341,0.7,1.5,.469,0.4,0.5,.667,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2
Michael Beasley,PF,29,74,30,22.3,5.5,10.9,.507,0.5,1.2,.395,5.1,9.7,.520,1.7,2.1,.780,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2.0,13.2
Marco Belinelli,SG,31,80,2,24.3,4.2,9.6,.441,1.9,4.9,.377,2.4,4.6,.509,1.9,2.0,.908,0.3,1.6,1.9,1.9,0.8,0.2,1.2,1.1,12.1
Jordan Bell,C,23,57,13,14.2,2.0,3.2,.627,0.0,0.1,.000,2.0,3.2,.641,0.5,0.8,.682,1.1,2.6,3.6,1.8,0.6,1.0,0.9,1.6,4.6
DeAndre' Bembry,SF,23,26,3,17.5,2.0,4.9,.414,0.4,1.2,.367,1.6,3.8,.429,0.7,1.3,.576,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2
Dragan Bender,PF,20,82,37,25.2,2.3,5.9,.386,1.4,3.9,.366,0.8,2.0,.426,0.5,0.6,.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2.0,6.5
Davis Bertans,PF,25,77,10,14.1,2.1,4.8,.440,1.2,3.3,.373,0.9,1.5,.588,0.5,0.6,.816,0.2,1.8,2.0,1.0,0.3,0.4,0.5,1.2,5.9
Patrick Beverley,SG,29,11,11,30.4,4.4,10.8,.403,2.2,5.5,.400,2.2,5.4,.407,1.3,1.5,.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2
