ime,placa
Stephen Curry,37457154
Blake Griffin,32088932
Paul Millsap,31269231
Kyle Lowry,31200000
Gordon Hayward,29727900
Mike Conley,28530608
Russell Westbrook,28530608
James Harden,28299399
DeMar DeRozan,27739975
Al Horford,27734406
Carmelo Anthony,26243760
Damian Lillard,26153057
Otto Porter Jr.,26011913
Jrue Holiday,25686667
Bradley Beal,25434263
Andre Drummond,25434263
Hassan Whiteside,25434262
Joel Embiid,25250000
Chris Paul,24599495
Giannis Antetokounmpo,24157303
Kevin Love,24119025
Nicolas Batum,24000000
CJ McCollum,23962573
Dwight Howard,23819725
Anthony Davis,23775506
Chandler Parsons,23112004
Harrison Barnes,23112004
Brook Lopez,22642650
Marc Gasol,22642350
DeAndre Jordan,22642350
Steven Adams,22471910
Rudy Gobert,21924719
Serge Ibaka,21666667
LaMarcus Aldridge,21461010
Victor Oladipo,21000000
Danilo Gallinari,20559599
Ryan Anderson,19578455
Paul George,19508958
Jimmy Butler,19301070
John Wall,19169800
Jeff Teague,19000000
George Hill,19000000
Kawhi Leonard,18868626
Kyrie Irving,18868626
Enes Kanter,18622514
Joakim Noah,18530000
Allen Crabbe,18500000
Goran Dragic,18109175
Kent Bazemore,18089887
DeMarcus Cousins,18063850
Wesley Matthews,17884176
Klay Thompson,17826150
Kentavious Caldwell-Pope,17745894
Draymond Green,17469565
Tristan Thompson,17469565
Tim Hardaway Jr.,17325000
Luol Deng,17190000
Evan Turner,17131148
Reggie Jackson,17043478
Bismack Biyombo,17000000
Evan Fournier,17000000
Jonas Valanciunas,16539326
Pau Gasol,16000000
Tobias Harris,16000000
Ian Mahinmi,15944154
Dennis Schroder,15500000
Tony Parker,15453126
DeMarre Carroll,15400000
Eric Bledsoe,15000000
Andre Iguodala,14814815
JR Smith,14720000
James Johnson,14651700
Robin Lopez,14357750
Ricky Rubio,14275000
Joe Ingles,14136364
Gorgui Dieng,14112360
Marvin Williams,14087500
Mason Plumlee,14041096
Thaddeus Young,13964045
Brandon Knight,13618750
Cody Zeller,13528090
Michael Kidd-Gilchrist,13000000
Tyson Chandler,13000000
Eric Gordon,12943020
Kenneth Faried,12921348
Marcin Gortat,12782609
Nikola Vucevic,12750000
Austin Rivers,12650000
Kelly Olynyk,12537527
Jeremy Lin,12516746
Jordan Clarkson,12500000
Miles Plumlee,12500000
Zach Randolph,12307692
Courtney Lee,12253780
Solomon Hill,12236535
Nikola Pekovic,12100000
Wilson Chandler,12016854
Kemba Walker,12000000
Derrick Favors,12000000
Dion Waiters,11550000
John Henson,11327466
Omer Asik,11286516
Monta Ellis,11227000
Alec Burks,10845506
Patty Mills,10714286
Tony Snell,10607143
Terrence Ross,10500000
Mirza Teletovic,10500000
Bojan Bogdanovic,10500000
Robert Covington,10464092
Iman Shumpert,10337079
Maurice Harkless,10162922
Jon Leuer,10002681
Danny Green,10000000
Jared Dudley,10000000
Al Jefferson,10000000
Meyers Leonard,9904495
Bogdan Bogdanovic,9412280
Norman Powell,9367200
Josh Richardson,9367200
Andre Roberson,9259260
Dwight Powell,9003125
Gerald Henderson,9000000
Avery Bradley,8808989
Markieff Morris,8600000
Jerryd Bayless,8575916
JaMychal Green,8533333
Cristiano Felicio,8470980
E'Twaun Moore,8445024
Rudy Gay,8406000
Kosta Koufos,8393000
Markelle Fultz,8339880
Garrett Temple,8000000
Kevin Garnett,8000000
Yi Jianlian,8000000
Vince Carter,8000000
Cory Joseph,7945000
CJ Miles,7936509
Shaun Livingston,7692308
PJ Tucker,7590035
Corey Brewer,7579366
Andrew Wiggins,7574323
Kyle Korver,7560000
Boris Diaw,7500000
Jeremy Lamb,7488372
Darrell Arthur,7464912
Trevor Ariza,7420912
Channing Frye,7420912
Festus Ezeli,7400000
Al-Farouq Aminu,7319035
Cole Aldrich,7300000
D.J. Augustin,7250000
Dewayne Dedmon,7200000
Lance Thomas,7119650
D'Angelo Russell,7019698
Boban Marjanovic,7000000
Langston Galloway,7000000
Jae Crowder,6796117
Carl Landry,6500000
Ben Simmons,6434520
Tim Duncan,6393750
Andrew Nicholson,6362998
Ed Davis,6352531
Lonzo Ball,6286560
Isaiah Thomas,6261395
Karl-Anthony Towns,6216840
Spencer Hawes,6061175
Josh McRoberts,6021175
Shelvin Mack,6000000
Jonathon Simmons,6000000
Alan Williams,6000000
Ish Smith,6000000
Wesley Johnson,5882260
Alex Abrines,5725000
Kristaps Porzingis,5697054
Jayson Tatum,5645400
Jared Sullinger,5628000
Brandon Ingram,5519400
Patrick Beverley,5513514
Thabo Sefolosha,5500000
Luis Scola,5500000
Jason Smith,5450000
Ben McLemore,5200000
Patrick Patterson,5192000
Nick Young,5192000
Josh Jackson,5090040
C.J. Watson,5000000
Mike Muscala,5000000
Marcus Morris,5000000
Dante Exum,4992385
Jonathan Isaac,4969080
Alexis Ajinca,4961798
Jaylen Brown,4956480
Mike Dunleavy,4837500
Kyle Singler,4666500
Ron Baker,4544000
Lauri Markkanen,4536120
Dragan Bender,4468800
Devin Harris,4402546
Justin Holiday,4384616
Greivis Vasquez,4347826
Jamal Crawford,4328000
Emmanuel Mudiay,4294480
Kris Dunn,4221000
Nerlens Noel,4187599
Alex Len,4187599
Frank Ntilikina,4155720
Julius Randle,4149242
Jordan Hill,4000000
Leandro Barbosa,4000000
Jonas Jerebko,4000000
Nemanja Bjelica,3949999
Stanley Johnson,3940402
J.J. Barea,3903900
Quincy Pondexter,3853931
Willie Cauley-Stein,3704160
Buddy Hield,3675480
Frank Kaminsky,3627842
Drew Gooden,3547000
Will Barton,3533333
Paul Pierce,3527920
Mike Miller,3500000
Nene Hilario,3477600
Zaza Pachulia,3477600
Jodie Meeks,3454500
Justise Winslow,3448926
Malik Monk,3447480
Myles Turner,3410284
Troy Daniels,3408520
Jamal Murray,3355320
Elfrid Payton,3332340
Rajon Rondo,3300000
Doug McDermott,3294994
Anthony Tolliver,3290000
Tarik Black,3290000
Luke Kennard,3275280
Cameron Payne,3263294
Dennis Smith Jr.,3218280
Kelly Oubre Jr.,3208630
Ekpe Udoh,3200000
T.J. Warren,3152931
Marquese Chriss,3073800
Zach Collins,3057240
Seth Curry,3028410
Mindaugas Kuzminskas,3025035
Justin Hamilton,3000000
Tomas Satoransky,3000000
Tibor Pleiss,3000000
Bam Adebayo,2955840
Jakob Poeltl,2947320
Jusuf Nurkic,2947305
Thon Maker,2799720
Cedi Osman,2775000
Domantas Sabonis,2659800
Jerian Grant,2639314
Donovan Mitchell,2621280
Gary Harris,2550055
Delon Wright,2536898
D.J. Wilson,2534280
Dario Saric,2526840
Taurean Prince,2526840
Justin Anderson,2516048
Manu Ginobili,2500000
Reggie Bullock,2500000
Bobby Portis,2494346
Rondae Hollis-Jefferson,2470357
Bruno Caboclo,2451225
Kendrick Perkins,2445085
Trey Lyles,2441400
T.J. Leaf,2407560
Justin Jackson,2365560
Shabazz Napier,2361360
Clint Capela,2334528
John Collins,2299080
Denzel Valentine,2280600
Larry Nance Jr.,2272391
Justin Patton,2247480
Guerschon Yabusele,2247480
Brandon Jennings,2222803
Mo Williams,2194500
Kyle Anderson,2151704
Darius Miller,2100000
Juan Hernangomez,2076840
Sean Kilpatrick,2054856
Kendall Marshall,2048257
OG Anunoby,2034120
Jarrett Allen,2034120
Terry Rozier,1988520
Kevin Seraphin,1974159
Ante Zizic,1952760
Tyler Zeller,1933941
Rashad Vaughn,1889040
Harry Giles,1859400
Henry Ellenson,1857480
Eric Moreland,1826300
Sam Dekker,1794600
Terrance Ferguson,1785000
Furkan Korkmaz,1740000
Caris LeVert,1702800
Malik Beasley,1700640
Spencer Dinwiddie,1656092
Julyan Stone,1656092
DeAndre' Bembry,1634640
T.J. McConnell,1600520
Richaun Holmes,1600520
Dwight Buycks,1600520
Tyler Lydon,1579440
Ryan Kelly,1577230
Archie Goodwin,1577230
Jeff Withey,1577230
Malachi Richardson,1569360
Caron Butler,1551659
Willy Hernangomez,1544951
Malcolm Brogdon,1544951
Troy Williams,1544951
Isaiah Taylor,1544951
Mitch McGary,1526040
Jerami Grant,1524305
Johnny O'Bryant III,1524305
Tyler Ennis,1524305
Marcelo Huertas,1500000
Omri Casspi,1471382
Mario Chalmers,1471382
KJ McDaniels,1471382
Raymond Felton,1471382
Pat Connaughton,1471382
Raul Neto,1471382
Chris McCullough,1471382
Jeremy Evans,1471382
Caleb Swanigan,1465920
Jordan Adams,1465080
Richard Jefferson,1454756
Kyle Kuzma,1423560
Tony Bradley,1414920
Derrick White,1404600
Josh Hart,1394520
Timothe Luwawu-Cabarrot,1386600
Josh Smith,1379940
Khem Birch,1378242
Wesley Iwundu,1378242
Sterling Brown,1378242
Dwayne Bacon,1378242
Damyean Dotson,1378242
Rodney Purvis,1378242
Alex Poythress,1378242
Tyler Dorsey,1378242
Guillermo Hernangomez,1350000
Sasha Kaun,1333240
Brice Johnson,1331160
Damian Jones,1312611
Patricio Garino,1312611
Kyle Wiltjer,1312611
Chasson Randle,1312611
Daniel Ochefu,1312611
Kalin Lucas,1312611
Skal Labissiere,1312611
Yogi Ferrell,1312611
Marcus Georges-Hunt,1312611
Sheldon Mac,1312611
Khris Middleton,1300000
Semi Ojeleye,1291892
Livio Jean-Charles,1188840
Frank Mason III,1184385
Abdel Nader,1167333
Tony Wroten,1050961
John Jenkins,1050961
Chris Johnson,1050961
Anthony Bennett,1015696
Andrew Goudelock,1015696
Isaiah Canaan,997547
Elliot Williams,980431
Phil Pressey,980431
Devyn Marble,980431
Arinze Onuaku,980431
Toure' Murry,980431
Chris Wright,980431
Steve Novak,980431
Elton Brand,980431
Jordan Farmar,980431
Jorge Gutierrez,980431
Henry Sims,980431
Will Bynum,980431
Ivan Rabb,950000
Rade Zagorac,950000
Reggie Williams,895197
Kevin Murphy,874636
D.J. Kennedy,874636
DJ Stephens,874636
Casper Ware,874636
Jordan McRae,874636
Keith Benson,874636
Cliff Alexander,874636
Gerald Green,872854
Dillon Brooks,815615
Xavier Rathan-Mayes,815615
Dakari Johnson,815615
Melo Trimble,815615
Thomas Bryant,815615
Bryce Alford,815615
Luke Petrasek,815615
T.J. Williams,815615
Terry Henderson,815615
Erik McCree,815615
Royce O'Neale,815615
Daniel Theis,815615
L.J. Peak,815615
Jordan Mathews,815615
Tyler Cavanaugh,679919
Emeka Okafor,592030
DeAndre Liggins,588120
Scott Wood,543471
Cameron Jones,543471
Elgin Cook,543471
Brady Heslip,543471
Yanick Moreira,543471
Andrew Andrews,543471
Rasheed Sulaimon,543471
Gracin Bakumanya,543471
Isaiah Cousins,543471
Maurice Ndour,543471
Nikola Jovanovic,543471
Trey Freeman,543471
Jonathan Holmes,543471
Brandan Wright,490461
